帧,流量,密度,速度平均值,TPI,>10替换,差分
7619,30,14,7.879318996228813,7.234127724398676,7.234127724398676,-0.44767296417671343
7620,29,14,7.601187138914155,7.68180068857539,7.68180068857539,-0.462212437816639
7621,29,14,7.099213993978021,8.144013126392029,8.144013126392029,-0.22234494236537472
7622,28,14,7.100432639453701,8.366358068757403,8.366358068757403,0.5967253486530373
7623,27,13,7.881269309266917,7.769632720104366,7.769632720104366,-0.5815294769385586
7624,29,14,6.771719049829439,8.351162197042925,8.351162197042925,0.6700424191768093
7625,29,14,7.332503685563733,7.681119777866115,7.681119777866115,-0.4218247656533265
7626,29,16,6.894045573864196,8.102944543519442,8.102944543519442,1.75003285626297
7627,29,14,8.738865596176053,6.352911687256472,6.352911687256472,-3.647088312743528
7628,28,11,5.548550790460723,10.298699480429969,10.0,0.0
7629,27,10,4.411583597916755,13.376680815224548,10.0,0.0
7630,26,9,4.468732133991238,13.656142099333245,10.0,0.0
7631,26,8,4.756273132056718,12.776648666295749,10.0,0.12331431947282923
7632,26,9,6.113854114408989,9.87668568052717,9.87668568052717,-0.12331431947282923
7633,26,8,4.934887682710729,12.158331426712849,10.0,0.0
7634,25,9,4.130007995334906,14.97979343782114,10.0,0.37630073854121093
7635,25,9,6.387010337368892,9.623699261458789,9.623699261458789,-0.37630073854121093
7636,23,9,6.035290073084782,11.022127905185163,10.0,0.3173344116067103
7637,23,10,6.825285446288493,9.68266558839329,9.68266558839329,-0.3173344116067103
7638,23,9,6.239343320427264,10.522289052135006,10.0,0.0
7639,24,10,5.36126565442189,11.683601023804012,10.0,0.0
7640,23,10,4.863762114048846,13.379039155750625,10.0,0.0
7641,24,12,4.986386235883364,12.47842009799693,10.0,0.0
7642,23,12,5.509635946341536,11.758056126860541,10.0,0.0
7643,23,11,5.255543934418548,12.298951729069989,10.0,0.0
7644,24,11,5.458597726476351,11.373494887195056,10.0,0.0
7645,25,11,4.848368909439773,12.320294608158331,10.0,0.0
7646,24,11,4.436137181873466,14.088833919605039,10.0,0.0
7647,23,9,3.156369402615027,20.66215419852814,10.0,0.0
