帧,流量,密度,平均速度,TPI
35,20,11,22.21859373542254,9.113988149356159
68,31,6,19.9904825654729,6.535368061397873
101,40,10,27.27973437635481,4.767275157661473
134,52,8,19.81794935943728,5.247767976078481
167,61,10,15.27872089739003,6.257497471099237
200,61,8,17.55723471217057,5.445422297098716
233,58,10,18.79303377940304,5.350478550628406
266,66,10,20.03382385428778,4.090052629760778
299,66,10,25.35655996574684,3.356970039950173
332,71,11,21.79514812996212,3.4947692775621175
365,66,10,21.93038108356514,4.029279565499981
398,64,9,24.48534079722991,3.5850532253948013
431,62,10,17.1305275681968,5.289557070853515
464,55,9,23.34943818833832,4.050710660312858
497,63,10,20.22609446901283,4.08242079052539
530,58,7,13.53455400895768,6.11716524929305
563,59,9,23.0245491817544,3.6806697947867075
596,62,11,20.34853970783344,4.453042062321741
629,65,9,18.59958692849391,5.004246784337588
662,64,10,18.23868321465908,4.113852360772115
695,63,9,19.19350552102575,3.6536829632378884
728,71,12,22.43197410284846,2.657172905493326
761,74,12,26.16558819242185,1.8220754421826313
794,72,6,19.04484716361724,2.5728744147450167
827,75,9,29.81186800008116,1.8927585036440204
860,76,9,24.27114076497028,2.2942560082170895
893,69,10,23.16742859790457,2.533541947733548
926,66,12,24.01106127244958,2.443318352362089
959,53,8,18.69891022769536,3.3923881922379375
992,54,8,28.73355117725355,2.610189027361593
1025,52,8,22.46626303917122,3.622525706332051
1058,53,8,16.03785524067903,5.197608365650044
1091,52,8,21.79972050516318,4.064978016318897
1124,55,12,22.94317950227874,3.3537398135167904
1157,55,9,22.45914577318914,2.993718653210213
1190,59,9,22.9392776649265,2.606734660216387
1223,60,10,29.31755405476182,1.8191603990466871
1256,61,7,21.42321428571429,2.4486996065956372
1289,65,9,22.9977252598001,2.2490518665986756
1322,60,9,23.68224938065872,2.482872258241733
1355,53,7,25.92230003237018,2.818291728834104
1388,52,9,23.49918951056334,3.314353260975437
1421,52,9,19.42457638219953,4.189775559748905
1454,52,10,22.32844112958439,3.9687224065979407
1487,52,10,23.10693622067063,3.6768846224422838
1520,53,8,21.09940275978254,4.294139252017362
1553,54,10,23.4164752800053,4.113912626960975
1586,55,10,27.51487885227445,3.437478997804121
1619,61,10,25.96786542430657,3.414055651333361
1652,66,12,25.48652280638216,3.5966721456295376
1685,66,10,20.18642318474084,4.3773795662042545
1718,66,9,16.67684417688693,6.112630954522895
1751,70,11,14.08193695219455,8.052869458581661
